,企業名,セールスポイント,採用ステータス,初年度年収
36,日研トータルソーシング株式会社 | 大阪府緊急雇用対策に賛同 ☆90％が未経験入社 ☆定着率95％,◆年休最大160日◆ものづくりの【サポートスタッフ】★賞与年2回 正社員,正社員,"仕事内容 《特別な知識やスキルはいりません》製品の不良品のチェック・仕分け、カンタンな製造や倉庫作業、データ入力などをお任せします！
対象となる方 《残業は1日1時間程度の環境》★職種経験・業界経験、技術の知識は一切不問 ★第二新卒歓迎！★20～40代の社員が多数活躍中！
勤務地 *◆ 希望を考慮のうえ、全国46都道府県に配属！ ◆* ☆あなたの希望の勤務地を考慮します。 ☆将…
給与 ●大学卒：月給184,000円 ●専門卒：月給180,000円 ●中学卒・高校卒：月給170,000円 ★経験・能力に応じ…"
37,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％★残業ほぼナシ,月35万～【ITエンジニア】★有給消化81％★在宅勤務OK／学歴不問 正社員,正社員,"仕事内容 【ITインフラ・クラウド】ネットワーク設計・運用など希望・スキルに合ったお仕事　★タイプに合ったキャリアを選べる★マルチクラウドのスキルを手に
対象となる方 【学歴不問】運用・ネットワーク・サーバ設計・構築いずれかの経験者★大型案件あり★第6回<ワーク・ライフ・バランス大賞>大賞受賞=家族も安心できる
勤務地 【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…
給与 【月給35万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当 ▼設計構築5年以上の経験者 【月給40…
初年度年収 450万円～1000万円"
38,株式会社PGSホーム | 残業ほぼ無し！休日出勤は一切無し！ワーク・ライフ・バランス◎,【営業総合職】※月給40万円スタート！入社祝金最大138万円支給 正社員,正社員,"仕事内容 【圧倒的な商品力を誇るから提案しやすい】◎特許を取得する自社オリジナル塗料を使用した住宅ペイントや太陽光発電システムのご提案をお任せします。
対象となる方 【“安定”と“高収入”を同時に手にできるチャンス！】◎経験・学歴・年齢一切不問！◎「もっと稼ぎたい」「生活を良くしたい」そんな方はご応募を！
勤務地 ※新支店が続々と開設！ 《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州のいずれ…
給与 月給25万円〜50万円＋高額歩合給(本数達成賞＋オーダー手当) ★月給40万円スタート(※)！さらに今だけ！…
初年度年収 400万円～1000万円"
39,株式会社大阪真和エンタープライズ | 【売上高122億円以上を誇るLALLグループ】◆独立支援制度あり！,既存顧客中心！投資用不動産【営業】未経験歓迎／完全週休2日 正社員,正社員,"仕事内容 【テレアポ・飛び込み一切なし！】自社ブランドマンションのご提案をお任せします！お客様に寄り添い、関係性を築くことが活躍の”カギ”になります。
対象となる方 ＼全くの未経験でも大丈夫／経験・学歴も一切関係なし！◆ほとんどが未経験入社です！◆平等にチャンスがある！そんなフィールドで活躍しませんか？
勤務地 【WEB面接可能！】 ☆梅田から1駅・淀屋橋徒歩5分☆ ■転勤なし・UIターン歓迎 ■オフィスに立…
給与 月給24万円以上＋歩合給＋各種手当+賞与（年2回） ※経験やスキルを考慮し決定します。 ※上記給与には…
初年度年収 300万円～400万円"
40,UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み,☆未経験歓迎☆【総合職(管理・資料作成等)】LINE面接実施中！ 正社員,正社員,"仕事内容 【未経験入社者の平均月収29万円】建設プロジェクトにおける、写真撮影・関係者との打ち合わせ・スタッフの勤怠管理等を担当★意欲重視の採用です！
対象となる方 【未経験歓迎・男性活躍中】未経験者の入社実績多数！5・6月入社歓迎！ゆくゆくは本社の営業や人事、総務等へのキャリアチェンジも可能！
勤務地 ◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡) ★U・Iターン歓迎！社宅・寮完備…
給与 月給23万円〜30万円＋各種手当 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均月収は36万円！ ※別…
初年度年収 350万円～650万円"
41,株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％/69％が毎年昇給,年休126日×平均残業7.8h【ITエンジニア】在宅勤務OK／高卒以上 正社員,正社員,"仕事内容 【ITインフラ・クラウド】ネットワーク設計・運用など希望・スキルに合ったお仕事　★タイプに合ったキャリアを選べる★マルチクラウドのスキルを手に
対象となる方 【高卒以上】IT業界経験半年以上・エンジニアとして活躍したい方 ★家族を安心させたい方◎★案件豊富★第6回<ワーク・ライフ・バランス大賞>大賞受賞
勤務地 【リモート案件多数】 ★月~20万/年~240万のインセンティブ賞与 ★UIターン歓迎(上京時に寮…
給与 <東京/埼玉/神奈川/千葉> (1)月給27万円~＋インセンティブ賞与・諸手当 <静岡/愛知/大阪> (2)月給26.5万…
初年度年収 306万円～1000万円"
42,UTエイム株式会社 | 【超スピード選考】最短当日面談＆当日採用(規定有)！,【サポートスタッフ(データ管理・部品手配等)】★完全週休2日制 正社員,正社員,"仕事内容 ＜面談1回＞家電・半導体分野において、データ管理・部品の手配・生産状況確認等を担当。作業マニュアル有！年間休日190日以上も可能♪
対象となる方 【学歴・経験・転職回数は一切不問】未経験歓迎！★年休190日のエリアも有／超スピード選考⇒『今月中には転職したい！』そんな方はぜひ！
勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…
給与 月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
初年度年収 300万円～500万円"
43,株式会社コシダカ | 【上場グループ企業】土日休みOK★月収29.4万円も目指せる！,社員評価90点越えの働きやすさ！【店舗マネージャー】★高卒以上 正社員,正社員,"仕事内容 【20～30代男女が活躍中♪】◆『カラオケまねきねこ』で、店舗管理・マネジメント業務をお任せ★未経験でも安心！先輩が丁寧にサポートします。
対象となる方 《人物重視》高卒以上◆未経験・第二新卒・フリーター出身の先輩たくさん♪★上場グループの正社員として安定！※社会人歴・転職回数不問
勤務地 《転勤なし》全国の『カラオケまねきねこ』の店舗 ★マイカー可能！※エリアによる ★お住まいとご希望…
給与 エリア別の月給になります。 【A】月給23万円〜48万円 【B】月給22万円〜47万円 【C】月給21万円〜46万…
初年度年収 300万円～850万円"
44,株式会社ワールドコーポレーション,【管理業務スタッフ】※首都圏限定※未経験歓迎 正社員,正社員,"仕事内容 プロジェクトのスケジュール確認・問い合わせ対応などを担当。★土日休み・オフ充実★高収入も可能
対象となる方 ◆20～30代の男性が中心に活躍中◆経験不問！転職回数も不問です！未経験者大歓迎！未経験から一生モノのスキルが身に付くお仕事です◆面接は1回◆
勤務地 ★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★首都圏のプロジェクト先 <事業所所在地> ■本社 東京都…
給与 ■月給226,000円以上＋各種手当＋賞与年2回 (固定残業手当32,000円/20H分を含む) ※上記固定残業代いず…
初年度年収 350万円～500万円"
45,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,アニメやスポーツ番組の【反響営業】完全週休2日★学歴不問！ 正社員,正社員,"仕事内容 【反響営業だから成果を出しやすい！】お問い合わせをいただいたお客さまにアニメやスポーツといったテレビ番組のご案内。※産休育休も完備(実績あり)
対象となる方 【学歴不問！未経験・第二新卒歓迎！】35歳までの方 ◆<先輩たちの前職も様々！>フリーターやアパレル販売員・飲食店スタッフなど幅広い方が活躍中！
勤務地 【WEB面接OK/希望勤務地考慮/転勤なし】 東京都港区の本社または全国の各拠点 ◎UIターン歓迎…
給与 月給22万円〜51万円＋インセンティブ ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 …
初年度年収 400万円～1000万円"
